OLN	uniprotID	SGD_id	length
YOR258W	Q08702	S000005784	217
YDL227C	P09932	S000002386	586
YJR075W	P47124	S000003836	396
YMR032W	Q05080	S000004635	669
YLR113W	P32485	S000004103	435
YNR055C	P53389	S000005338	586
YDR158W	P13663	S000002565	365
YER052C	P10869	S000000854	527
YJR139C	P31116	S000003900	359
YIL072W	P20050	S000001334	605
YGL033W	P53187	S000003001	214
YMR251W-A	Q05827	S000004864	59
YPR068C	Q12214	S000006272	470
YGL194C	P53096	S000003162	452
YPL116W	Q02959	S000006037	697
YIL112W	P40480	S000001374	1083
YMR172W	Q03213	S000004783	719
YKL084W	P36078	S000001567	116
YPR193C	Q06592	S000006397	156
YEL066W	P39979	S000000792	161
YBR215W	Q01448	S000000419	625
YOL155C	Q05164	S000005515	967
YIL110W	P40481	S000001372	377
YDR138W	P17629	S000002545	752
YDR399W	Q04178	S000002807	221
YNL004W	P38922	S000004949	454
YOL013C	Q08109	S000005373	551
YLR207W	Q05787	S000004197	833
YLR301W	Q05905	S000004292	244
YOR267C	Q08732	S000005793	759
YOL123W	Q99383	S000005483	534
YDR291W	Q05549	S000002699	1077
YPL204W	P29295	S000006125	494
YOL133W	Q08273	S000005493	121
YLR097C	Q12347	S000004087	344
YMR186W	P15108	S000004798	705
YHL002W	P38753	S000000994	452
YGL073W	P10961	S000003041	833
YMR288W	P49955	S000004901	971
YOR319W	Q99181	S000005846	213
YKL138C-A	P69852	S000028421	69
YKL101W	P34244	S000001584	1518
YBR133C	P38274	S000000337	827
YBR272C	P38348	S000000476	480
YLL026W	P31539	S000003949	908
YOR020C	P38910	S000005546	106
YFL014W	P22943	S000001880	109
YJL159W	P32478	S000003695	413
YBR072W	P15992	S000000276	214
YCR021C	P25619	S000000615	332
YDR533C	Q04432	S000002941	237
YPL280W	Q08992	S000006201	237
YOR391C	Q08914	S000005918	237
YDR171W	Q12329	S000002578	375
YLR259C	P19882	S000004249	572
YDR258C	P33416	S000002666	811
YPL240C	P02829	S000006161	709
YOL068C	P53685	S000005429	503
YPL015C	P53686	S000005936	357
YOR025W	P53687	S000005551	447
YDR191W	P53688	S000002599	370
YGR223C	P50079	S000003455	448
YDR225W	P04911	S000002633	132
YBL003C	P04912	S000000099	132
YDR224C	P02293	S000002632	131
YBL002W	P02294	S000000098	131
YHR067W	P38790	S000001109	280
YCR020W-B	Q9URQ5	S000006439	78
YPR033C	P07263	S000006237	546
YOL012C	Q12692	S000005372	134
YGR268C	P40325	S000003500	198
YOR284W	Q12134	S000005810	243
YNR032C-A	Q6Q546	S000007251	73
YML058W-A	Q6Q5K6	S000007472	68
YJR036C	P40985	S000003797	892
YGL141W	P53119	S000003109	910
YGL168W	P45820	S000003136	110
YPL244C	Q12520	S000006165	339
YER039C	P0CE11	S000000841	249
YFR053C	P04806	S000001949	485
YGL253W	P04807	S000003222	486
YFL011W	P43581	S000001883	546
YOL156W	P54862	S000005516	567
YIL170W	P40441	S000001432	457
YEL069C	P39924	S000000795	564
YNL318C	P42833	S000005262	540
YDL245C	P54854	S000002404	567
YJR158W	P47185	S000003919	567
YNR072W	P53631	S000005355	564
YHR094C	P32465	S000001136	570
YMR011W	P23585	S000004613	541
YDR345C	P32466	S000002753	567
YHR092C	P32467	S000001134	576
YHR096C	P38695	S000001138	592
YDR343C	P39003	S000002751	570
YDR342C	P39004	S000002750	570
YJL214W	P40886	S000003750	569
YJL219W	P40885	S000003755	567
YKL189W	P32464	S000001672	399
YEL034W	P23301	S000000760	157
YIR037W	P40581	S000001476	163
YOR126C	P41734	S000005652	238
YJR122W	P47158	S000003883	497
YNL164C	P53892	S000005108	351
YIL090W	P40499	S000001352	491
YER065C	P28240	S000000867	557
YPR006C	Q12031	S000006210	575
YER078C	P40051	S000000880	511
YBR157C	P38284	S000000361	255
YJL077C	P47034	S000003613	131
YLR099C	Q12385	S000004089	394
YMR195W	Q04329	S000004808	127
YNL037C	P28834	S000004982	360
YOR136W	P28241	S000005662	369
YPL117C	P15496	S000006038	288
YDL066W	P21954	S000002224	428
YLR174W	P41939	S000004164	412
YNL009W	P53982	S000004954	420
YJL146W	P46958	S000003682	469
YFL013C	P43579	S000001881	692
YNL215W	P40154	S000005159	320
YLR052W	Q12345	S000004042	250
YOR189W	Q08561	S000005715	116
YER092W	P40060	S000000894	125
YEL044W	P32617	S000000770	166
YBR159W	P38286	S000000363	347
YLR223C	P39520	S000004213	1085
YOL023W	P25038	S000005383	676
YFR017C	P43598	S000001913	195
YNL157W	P53897	S000005101	168
YHR132W-A	Q9P305	S000007496	131
YHR187W	P38874	S000001230	309
YLR384C	Q06706	S000004376	1349
YJL057C	P47042	S000003593	667
YJR118C	P47155	S000003879	203
YBL076C	P09436	S000000172	1072
YER086W	P00927	S000000888	576
YMR108W	P07342	S000004714	687
YJR016C	P39522	S000003777	585
YLR355C	P06168	S000004347	395
YCL009C	P25605	S000000515	309
YGR287C	P53051	S000003519	589
YOL157C	Q08295	S000005517	589
YIL172C	P0CW40	S000001434	589
YJL221C	P0CW41	S000003757	589
YJL216C	P40884	S000003752	581
YAR073W	P39567	S000000095	403
YHR216W	P38697	S000001259	523
YLR432W	P50095	S000004424	523
YML056C	P50094	S000004520	524
YJR094C	P21190	S000003854	360
YJL106W	P32581	S000003642	645
YGL192W	P41833	S000003160	600
YCR046C	P25626	S000000642	169
YCR071C	P25642	S000000667	146
YLR309C	Q06704	S000004300	911
YJR138W	P47170	S000003899	1584
YJL082W	P47031	S000003618	731
YBR107C	P38265	S000000311	245
YGR031W	P53219	S000003263	342
YMR150C	P28627	S000004758	190
YMR035W	P46972	S000004638	177
YIL154C	P32351	S000001416	346
YHR148W	P32899	S000001191	183
YNL075W	P53941	S000005019	290
YPL099C	Q02888	S000006020	182
YIR024C	P40576	S000001463	216
YDL181W	P01097	S000002340	85
YHR046C	P38710	S000001088	295
YDR287W	Q05533	S000002695	292
YNL152W	P53901	S000005096	409
YJL153C	P11986	S000003689	533
YDR123C	P26798	S000002530	304
YOL108C	P13902	S000005468	151
YGL150C	P53115	S000003118	1489
YMR204C	Q03694	S000004817	420
YMR163C	Q03824	S000004773	705
YIL002C	P40559	S000001264	946
YNL106C	P50942	S000005050	1183
YOR109W	Q12271	S000005635	1107
YOL065C	Q08227	S000005426	384
YLR095C	Q12072	S000004085	812
YFR013W	P43596	S000001909	787
YMR044W	Q04213	S000004647	475
YHR085W	P38803	S000001127	334
YNL182C	P53877	S000005126	555
YDR315C	Q06667	S000002723	281
YPL209C	P38991	S000006130	367
YBR011C	P00817	S000000215	287
YDR072C	P38954	S000002479	527
YPL242C	Q12280	S000006163	1495
YBR140C	P18963	S000000344	3092
YOL081W	P19158	S000005441	3079
YOL015W	Q08118	S000005375	586
YOR013W	Q12479	S000005539	156
YOR235W	Q08630	S000005761	104
YOR135C	Q08522	S000005661	113
YPL017C	Q02733	S000005938	499
YPR038W	Q6B0V8	S000006242	119
YJL037W	P47056	S000003574	224
YLL033W	Q07843	S000003956	230
YDR112W	A0A023PXB5	S000002519	102
YLR247C	Q06554	S000004237	1556
YMR073C	Q04772	S000004677	201
YEL001C	P40006	S000000727	225
YOR044W	Q08416	S000005570	157
YIR036C	P40580	S000001475	263
YLR021W	Q07951	S000004011	179
YDR332W	Q06683	S000002740	689
YDR540C	Q03036	S000002948	179
YFR038W	P43610	S000001934	853
YFR043C	P43615	S000001939	237
YFR055W	P43623	S000001952	340
YJL051W	P47046	S000003587	822
YJL142C	P47010	S000003678	130
YHR079C	P32361	S000001121	1115
YIL026C	P40541	S000001288	1150
YKR019C	P36115	S000001727	615
YLL027W	Q07821	S000003950	250
YPR067W	Q12425	S000006271	185
YER019W	P40015	S000000821	477
YER180C	P32645	S000000982	267
YER048W-A	Q6Q560	S000007237	94
YMR081C	P32488	S000004686	338
YPL040C	P48526	S000005961	1002
YOR155C	Q99312	S000005681	450
YPR106W	Q06098	S000006310	443
YNL265C	P53843	S000005209	298
YBR086C	P38250	S000000290	946
YIR005W	P40565	S000001444	148
YPL135W	Q03020	S000006056	165
YOR226C	Q12056	S000005752	156
YBR245C	P38144	S000000449	1129
YOR304W	Q08773	S000005831	1120
YJR050W	P21374	S000003811	235
YGL133W	P53125	S000003101	1264
YDR497C	P30605	S000002905	584
YOL103W	P30606	S000005463	609
YML068W	Q04638	S000004533	464
YDR229W	Q04934	S000002637	453
YDL115C	Q07532	S000002273	353
YKL032C	P33417	S000001515	597
YDR492W	Q03419	S000002900	316
YOL002C	Q12442	S000005362	317
YLR023C	Q07959	S000004013	543
YOL101C	Q99393	S000005461	312
YGL018C	P53193	S000002986	184
YJL073W	P40358	S000003609	645
YKL217W	P36035	S000001700	616
YER051W	P40034	S000000853	492
YJR119C	P47156	S000003880	728
YPR061C	Q12350	S000006265	301
YLR331C	O13555	S000004323	125
YDR475C	Q03361	S000002883	876
YPR169W	Q06214	S000006373	492
YNL227C	P53863	S000005171	590
YJL162C	P46997	S000003698	583
YJR097W	P47138	S000003858	172
YLL057C	Q12358	S000003980	412
YMR132C	P40206	S000004739	208
YMR294W	P36224	S000004908	373
YJR091C	P47135	S000003851	1091
YKR038C	P36132	S000001746	386
YBR017C	P38217	S000000221	918
YGL241W	P53067	S000003210	1004
YPL125W	Q02932	S000006046	1032
YGL016W	P32767	S000002984	1081
YER110C	P40069	S000000912	1113
YLR347C	Q06142	S000004339	861
YNL188W	P11927	S000005132	433
YJL034W	P16474	S000003571	682
YPR141C	P17119	S000006345	729
YCL055W	P25583	S000000560	335
YMR065W	Q04746	S000004669	504
YPL269W	P32526	S000006190	644
YCL024W	P25389	S000000529	1037
YDR017C	Q12494	S000002424	1050
YKL161C	P36005	S000001644	433
YFR042W	P43614	S000001938	200
YDR367W	Q06346	S000002775	221
YHR158C	P38853	S000001201	1164
YGR238C	P50090	S000003470	882
YPL263C	Q08979	S000006184	651
YPL145C	P35844	S000006066	434
YGL203C	P09620	S000003171	729
YNL238W	P13134	S000005182	814
YIL125W	P20967	S000001387	1014
YDR148C	P19262	S000002555	463
YJL094C	P40309	S000003630	873
YHR102W	P38692	S000001144	1080
YDR122W	P13185	S000002529	1064
YLR096W	P13186	S000004086	1147
YDL108W	P06242	S000002266	306
YAR018C	P22209	S000000071	435
YOR233W	Q01919	S000005759	800
YCR091W	P25341	S000000687	720
YBL063W	P28742	S000000159	1111
YPL155C	P28743	S000006076	706
YGL216W	P53086	S000003184	805
YKL168C	P36004	S000001651	724
YDL049C	P50112	S000002207	268
YLL019C	P32350	S000003942	737
YHR186C	P38873	S000001229	1557
YNL322C	P17260	S000005266	313
YDR532C	Q04431	S000002940	385
YER038C	P40026	S000000840	464
YDR483W	P27809	S000002891	442
YNL132W	P53914	S000005076	1056
YOR336W	P22023	S000005863	1365
YPR159W	P32486	S000006363	720
YJL174W	P39005	S000003710	276
YNL308C	P42846	S000005252	591
YCL059C	P25586	S000000564	316
YDR037W	P15180	S000002444	591
YNL024C-A	Q8TGJ3	S000028698	72
YHR082C	P38691	S000001124	1029
YGR040W	P14681	S000003272	368
YBL071W-A	Q3E840	S000007587	82
YKL110C	P34253	S000001593	313
YOR099W	P27810	S000005625	393
YKR061W	P33550	S000001769	425
YBR205W	P38130	S000000409	404
YBR199W	P38131	S000000403	464
YNL029C	P53966	S000004974	522
YPL053C	P54070	S000005974	446
YIL085C	P40504	S000001347	517
YGL079W	P53158	S000003047	218
YJL207C	P39526	S000003743	2014
YKL008C	P28496	S000001491	418
YHL003C	P38703	S000000995	411
YOL025W	Q92325	S000005385	660
YHR155W	P38851	S000001198	1228
YHR080C	P38800	S000001122	1345
YFL042C	P43560	S000001852	674
YLR072W	Q08001	S000004062	693
YNL045W	Q10740	S000004990	671
YNL239W	Q01532	S000005183	483
YKR063C	P36146	S000001771	502
YOR181W	Q12446	S000005707	633
YJL062W	P40367	S000003598	830
YNL071W	P12695	S000005015	482
YMR296C	P25045	S000004911	558
YDR062W	P40970	S000002469	561
YJL134W	P47013	S000003670	409
YOR171C	Q12246	S000005697	624
YLR260W	Q06147	S000004250	687
YDR499W	Q04377	S000002907	747
YPL056C	Q02786	S000005977	101
YLR104W	Q08045	S000004094	131
YGL085W	P53153	S000003053	274
YER127W	P40079	S000000929	357
YCL005W	P25587	S000000511	256
YDL146W	Q12342	S000002305	491
YLL049W	Q07887	S000003972	179
YOR322C	Q12502	S000005849	818
YBL006C	P38210	S000000102	180
YBR204C	P38139	S000000408	375
YAL018C	P31379	S000000016	325
YOL047C	Q08218	S000005407	356
YPL213W	Q08963	S000006134	238
YPL054W	Q02799	S000005975	301
YNL323W	P42838	S000005267	414
YOR123C	P38439	S000005649	464
YGL009C	P07264	S000002977	779
YCL018W	P04173	S000000523	364
YLR451W	P08638	S000004443	886
YNL104C	P06208	S000005048	619
YHR002W	P38702	S000001044	357
YOR108W	Q12166	S000005634	604
YPL055C	Q02796	S000005976	332
YDL051W	P33399	S000002209	275
YKL073W	P36016	S000001556	881
YJR070C	P47120	S000003831	325
YGL090W	P53150	S000003058	421
YHR156C	P38852	S000001199	340
YMR298W	Q03579	S000004913	150
YLR239C	Q06005	S000004229	328
YOR196C	P32875	S000005722	414
YHR192W	P38878	S000001235	278
YPR139C	Q06508	S000006343	300
YFR001W	P43586	S000001897	204
YJL038C	P47055	S000003575	219
YKL205W	P33418	S000001688	1100
YKL183W	P34234	S000001666	306
YLR011W	Q07923	S000004001	191
YFL018C	P09624	S000001876	499
YDR503C	Q04396	S000002911	274
YOR084W	Q12405	S000005610	387
YCL051W	P25579	S000000556	583
YDL240W	P35688	S000002399	1017
YNR008W	P40345	S000005291	661
YHR081W	P38801	S000001123	184
YDR439W	Q04087	S000002847	347
YGR136W	P53281	S000003368	241
YFR024C-A	P43603	S000002968	459
YCL034W	P25369	S000000539	354
YJL100W	P42951	S000003636	607
YOR142W	P53598	S000005668	329
YGR244C	P53312	S000003476	427
YGL099W	P53145	S000003067	640
YHR121W	P38828	S000001163	187
YJL124C	P47017	S000003660	172
YBL026W	P38203	S000000122	95
YLR438C-A	P57743	S000006434	89
YER112W	P40070	S000000914	187
YER146W	P40089	S000000948	93
YDR378C	Q06406	S000002786	86
YNL147W	P53905	S000005091	115
YJR022W	P47093	S000003783	109
YPL004C	Q12230	S000005925	341
YKL176C	P34239	S000001659	828
YGR057C	P53237	S000003289	242
YNL006W	P41318	S000004951	303
YAL024C	P07866	S000000022	1435
YPR073C	P40347	S000006277	161
YKL143W	P34078	S000001626	463
YDL087C	Q07508	S000002245	261
YNL268W	P32487	S000005212	611
YIR034C	P38998	S000001473	373
YIL094C	P40495	S000001356	371
YDR034C	P40971	S000002441	790
YBR115C	P07702	S000000319	1392
YDL182W	P48570	S000002341	428
YDL131W	Q12122	S000002289	440
YDR234W	P49367	S000002642	693
YGL154C	P50113	S000003122	272
YNR050C	P38999	S000005333	446
YMR021C	P35192	S000004623	417
YGL086W	P40957	S000003054	749
YJL030W	P40958	S000003567	196
YJL013C	P47074	S000003550	515
YKL029C	P36013	S000001512	669
YDR005C	P41910	S000002412	395
YER142C	P22134	S000000944	296
YLR427W	Q06436	S000004419	670
YEL053C	Q02197	S000000779	733
YKL021C	P20484	S000001504	414
YAL025C	P10962	S000000023	306
YDR060W	Q12176	S000002467	1025
YCR020C-A	P23059	S000000614	88
YCR019W	P23060	S000000612	363
YPR051W	Q03503	S000006255	176
YBR142W	P38112	S000000346	773
YGR289C	P53048	S000003521	616
YGR292W	P53341	S000003524	584
YGR288W	P53338	S000003520	473
YBR298C	P38156	S000000502	614
YBR299W	P38158	S000000503	584
YBR297W	P38157	S000000501	468
YER106W	P40065	S000000908	302
YOL060C	Q12296	S000005421	706
YIL070C	P40513	S000001332	266
YLR244C	Q01662	S000004234	387
YBL091C	P38174	S000000187	421
YLR163C	P10507	S000004153	462
YHR024C	P11914	S000001066	482
YCR040W	P0CY06	S000000636	175
YCR039C	P0CY08	S000000635	210
YBR185C	P38300	S000000389	278
YJL199C	P39534	S000003735	108
YOR298C-A	O14467	S000007253	151
YDL056W	P39678	S000002214	833
YKL093W	P23493	S000001576	339
YOR197W	Q08601	S000005723	432
YDL003W	Q12158	S000002161	566
YKL165C	P36051	S000001648	919
YDL054C	Q07376	S000002212	486
YKL221W	P36032	S000001704	473
YOL119C	Q08268	S000005479	501
YOR306C	Q08777	S000005833	521
YNL307C	P21965	S000005251	375
YIL150C	P32354	S000001412	571
YPR046W	Q12262	S000006250	181
YMR043W	P11746	S000004646	286
YBL023C	P29469	S000000119	868
YDR318W	Q06675	S000002726	368
YJR135C	P47167	S000003896	239
YEL032W	P24279	S000000758	971
YPR019W	P30665	S000006223	933
YLR274W	P29496	S000004264	775
YGL201C	P53091	S000003169	1017
YBR202W	P38132	S000000406	845
YOR228C	Q12106	S000005754	302
YLR253W	Q06567	S000004243	569
YKL150W	P36060	S000001633	302
YOR221C	Q12283	S000005747	360
YBR227C	P38323	S000000431	520
YJR024C	P47095	S000003785	244
YNL173C	P53885	S000005117	366
YKL085W	P17505	S000001568	334
YOL126C	P22133	S000005486	377
YDL078C	P32419	S000002236	343
YFL016C	P35191	S000001878	511
YNL328C	P42834	S000005272	146
YLR188W	P33310	S000004178	695
YPL270W	P33311	S000006191	773
YML104C	Q01846	S000004572	1127
YAL010C	P18409	S000000008	493
YOL009C	Q92328	S000005369	271
YOL076W	Q12387	S000005436	796
YLR368W	Q05930	S000004360	598
YHR194W	P38880	S000001237	579
YOR147W	Q12171	S000005673	622
YGL219C	P53083	S000003187	459
YKL053C-A	O60200	S000007243	86
YPR083W	Q06820	S000006287	579
YOL027C	Q08179	S000005387	573
YLR106C	Q12019	S000004096	4910
YGR100W	P53258	S000003332	950
YGL197W	P53094	S000003165	1487
YJL112W	P47025	S000003648	714
YOL111C	Q12285	S000005471	212
YBR136W	P38111	S000000340	2368
YLR288C	Q02574	S000004279	474
YPR070W	Q12321	S000006274	566
YMR112C	Q99278	S000004718	115
YDL005C	Q12124	S000002163	431
YOR174W	Q12343	S000005700	284
YHR058C	P38782	S000001100	295
YOL135C	Q08278	S000005495	222
YBR193C	P38304	S000000397	223
YLR069C	P25039	S000004059	761
YJL102W	P39677	S000003638	819
YKR007W	Q02205	S000001715	184
YER044C-A	P29467	S000001954	408
YPL121C	P32489	S000006042	222
YOR351C	P24719	S000005878	497
YGR121C	P40260	S000003353	492
YNL142W	P41948	S000005086	499
YPR138C	P53390	S000006342	489
YNL210W	P16523	S000005154	270
YGR264C	P00958	S000003496	751
YFR030W	P39692	S000001926	1035
YPL023C	P46151	S000005944	657
YGL125W	P53128	S000003093	600
YKL001C	Q02196	S000001484	202
YPR167C	P18408	S000006371	261
YLR303W	P06106	S000004294	444
YIL128W	P40469	S000001390	1032
YKR069W	P36150	S000001777	593
YNL277W	P08465	S000005221	486
YOL064C	P32179	S000005425	357
YIR017C	P40573	S000001456	187
YJR010W	P08536	S000003771	511
YIL046W	P39014	S000001308	640
YPL038W	Q03081	S000005959	177
YDR253C	Q12041	S000002661	191
YNL103W	P32389	S000005047	672
YJR137C	P47169	S000003898	1442
YER091C	P05694	S000000893	767
YOR241W	Q08645	S000005767	548
YBR213W	P15807	S000000417	274
YLR017W	Q07938	S000004007	337
YPL169C	Q99257	S000006090	599
YPL187W	P01149	S000006108	165
YGL089C	P32435	S000003057	120
YDR461W	P34165	S000002869	36
YNL145W	P34166	S000005089	38
YDR219C	Q04922	S000002627	465
YDL233W	Q07684	S000002392	458
YPL060W	Q02783	S000005981	413
YML062C	P33441	S000004527	392
YGR249W	P53050	S000003481	456
YIR033W	P40578	S000001472	1113
YOR232W	P38523	S000005758	228
YJR144W	P32787	S000003905	269
YOR211C	P32266	S000005737	881
YCL044C	P25573	S000000549	417
YPL098C	Q02889	S000006019	113
YMR115W	Q04472	S000004721	501
YNL218W	P40151	S000005162	587
YDL200C	P26188	S000002359	188
YOL086W-A	Q3E835	S000007626	90
YDL160C-A	Q3E829	S000028520	80
YJL042W	P43638	S000003578	1398
YDR296W	Q06630	S000002704	226
YLL062C	Q12525	S000003985	324
YKL195W	P36046	S000001678	403
YCL057C-A	Q96VH5	S000007547	97
YBR262C	P38341	S000000466	106
YFR011C	P43594	S000001907	170
YGR235C	P50087	S000003467	233
YNL100W	P50945	S000005044	234
YKR016W	P36112	S000001724	540
YNL291C	P41821	S000005235	548
YLR332W	P36027	S000004324	376
YKL089W	P35201	S000001572	549
YGL035C	P27705	S000003003	504
YGL209W	P53035	S000003177	382
YER028C	P39943	S000000830	394
YMR036C	P23748	S000004639	554
YOL026C	Q08176	S000005386	113
YOR330C	P15801	S000005857	1254
YHR015W	P38760	S000001057	659
YJR077C	P23641	S000003838	311
YBR084W	P09440	S000000288	975
YEL007W	P40002	S000000733	666
YDR031W	Q04341	S000002438	121
YMR002W	Q03667	S000004604	156
YBL107C	P38162	S000000203	196
YDR144C	P53379	S000002551	596
YOR231W	P32490	S000005757	508
YPL140C	P32491	S000006061	506
YNL076W	P34072	S000005020	584
YNL085W	P40850	S000005029	830
YGL106W	P53141	S000003074	149
YPR188C	Q06580	S000006392	163
YNL074C	P32047	S000005018	452
YMR167W	P38920	S000004777	769
YLR035C	Q07980	S000004025	695
YPL164C	Q12083	S000006085	715
YKR095W	Q02455	S000001803	1875
YIL149C	P40457	S000001411	1679
YNL117W	P30952	S000005061	554
YIL051C	P40185	S000001313	145
YLL006W	P41800	S000003929	426
YLL061W	Q12372	S000003984	583
YLR190W	Q06324	S000004180	491
YPR164W	Q06211	S000006368	1407
YGL087C	P53152	S000003055	137
YEL019C	P38632	S000000745	267
YLR320W	Q06164	S000004312	1454
YBR098W	P38257	S000000302	691
YMR177W	Q03218	S000004789	510
YPL224C	Q08970	S000006145	484
YGL183C	P53102	S000003151	219
YIR025W	P40577	S000001464	368
YOR350C	P24720	S000005877	663
YHR204W	P38888	S000001247	796
YLR057W	Q12205	S000004047	849
YER001W	P39106	S000000803	762
YDR245W	P50108	S000002653	393
YJL183W	P46985	S000003719	422
YBR015C	P38069	S000000219	597
YKL201C	P36044	S000001684	1178
YJL186W	P46982	S000003722	586
YPL050C	P39107	S000005971	395
YGL068W	P53163	S000003036	194
YKL064W	P35724	S000001547	969
YJR131W	P32906	S000003892	549
YGL257C	P53059	S000003226	558
YIL014W	P40549	S000001276	630
YNR059W	P53745	S000005342	580
YIL106W	P40484	S000001368	314
YFL034C-B	P43563	S000001859	287
YOR274W	P07884	S000005800	428
YJR074W	P47123	S000003835	218
YBL049W	P38191	S000000145	138
YGL124C	P53129	S000003092	644
YNL297C	P48563	S000005241	1636
YPL082C	P32333	S000006003	1867
YER068W	P34909	S000000870	587
YMR070W	P54785	S000004674	490
YNL249C	P53583	S000005193	542
YGL080W	P53157	S000003048	130
YHR162W	P38857	S000001205	129
YGR243W	P53311	S000003475	146
YOR177C	Q08550	S000005703	464
YOR288C	Q12404	S000005814	318
YOL088C	Q99316	S000005448	277
YKL059C	P35728	S000001542	441
YIR002C	P40562	S000001441	993
YDL247W	P0CD99	S000002406	609
YJR160C	P0CE00	S000003921	602
YJL066C	P40364	S000003602	252
YJR002W	P47083	S000003762	593
YNR024W	P53725	S000005307	186
YDL028C	P54199	S000002186	764
YGL075C	P53159	S000003043	387
YJL019W	P47069	S000003556	682
YGL178W	P39016	S000003146	859
YCL061C	P25588	S000000566	1096
YPR112C	Q06106	S000006316	887
YMR224C	P32829	S000004837	692
YGL143C	P30775	S000003111	413
YDR033W	Q12117	S000002440	320
YGL064C	P53166	S000003032	561
YPR118W	Q06489	S000006322	411
YDL079C	P50873	S000002237	501
YPR079W	Q06815	S000006283	381
YOR201C	P25270	S000005727	412
YGL136C	P53123	S000003104	320
YPL184C	Q08925	S000006105	612
YDR347W	P10662	S000002755	321
YDL045W-A	O75012	S000006430	95
YGR084C	P12686	S000003316	339
YKL003C	P28778	S000001486	131
YPR166C	P10663	S000006370	115
YDR405W	P32387	S000002813	263
YBL090W	P38175	S000000186	177
YKL167C	P32388	S000001650	137
YHL004W	P32902	S000000996	394
YPL118W	Q02950	S000006039	344
YNL005C	P12687	S000004950	371
YKL142W	P35719	S000001625	219
YDR116C	Q04599	S000002523	285
YNL284C	P36520	S000005228	322
YDL202W	P36521	S000002361	249
YKR006C	Q02204	S000001714	264
YLR312W-A	P36523	S000004304	253
YBL038W	P38064	S000000134	232
YNL252C	P36528	S000005196	281
YNL185C	P53875	S000005129	158
YKR085C	P22354	S000001793	195
YNL177C	P53881	S000005121	309
YOR150W	Q12487	S000005676	163
YMR193W	P36525	S000004806	258
YGR076C	P23369	S000003308	157
YBR282W	P36526	S000000486	146
YDR462W	P36527	S000002870	147
YMR024W	P36516	S000004626	390
YKL138C	P14063	S000001621	131
YCR003W	P25348	S000000596	183
YMR286W	P20084	S000004899	86
YDR322W	Q06678	S000002730	367
YBR122C	P36531	S000000326	177
YBR268W	P36532	S000000472	105
YKL170W	P35996	S000001653	138
YML009C	P36533	S000004468	70
YLR439W	P36517	S000004431	319
YPL173W	P36534	S000006094	297
YMR225C	P19956	S000004838	98
YJL096W	P40858	S000003632	161
YNR022C	P53724	S000005305	139
YPR100W	Q06090	S000006304	140
YHR147C	P32904	S000001190	214
YDR237W	P36519	S000002645	292
YJL063C	P22353	S000003599	238
YGR220C	P31334	S000003452	269
YNR036C	P53732	S000005319	153
YPL013C	Q02608	S000005934	121
YMR188C	Q03246	S000004800	237
YNL306W	P42847	S000005250	217
YDR337W	P21771	S000002745	286
YGR165W	P53292	S000003397	345
YBR251W	P33759	S000000455	307
YMR158W	Q03799	S000004767	155
YBR146W	P38120	S000000350	278
YIR021W	P07266	S000001460	363
YOR334W	Q01926	S000005861	470
YJL133W	P10566	S000003669	314
YKR052C	P23500	S000001760	304
YOR370C	P32864	S000005897	603
YKL009W	P33201	S000001492	236
YER077C	P40050	S000000879	688
YDR282C	Q05648	S000002690	414
YPL041C	Q03079	S000005962	207
YJR003C	P47084	S000003763	519
YBL095W	P38172	S000000191	270
YPL168W	Q12467	S000006089	430
YJL147C	P47007	S000003683	382
YNL295W	P48564	S000005239	524
YNL211C	P53869	S000005155	86
YDR336W	Q05473	S000002744	314
YDL027C	Q07349	S000002185	420
YOR066W	Q08471	S000005592	629
YKR077W	P36157	S000001785	363
YOR188W	P21339	S000005714	1137
YGR014W	P32334	S000003246	1306
YNL293W	P48566	S000005237	633
YOL112W	Q12317	S000005472	492
YML128C	Q03104	S000004597	513
YDR205W	Q03455	S000002613	724
YLR219W	Q05812	S000004209	728
YOR354C	Q08818	S000005881	692
YHR039C	P38694	S000001081	644
YPL104W	P15179	S000006025	658
YOL033W	P48525	S000005393	536
YPR047W	P08425	S000006251	469
YNL053W	P38590	S000004998	489
YHR120W	P25846	S000001162	959
YOL090W	P25847	S000005450	964
YCR092C	P25336	S000000688	1018
YFL003C	P40965	S000001891	878
YDL154W	Q12175	S000002313	901
YDR097C	Q03834	S000002504	1242
YBR195C	P13712	S000000399	422
YNL073W	P32048	S000005017	576
YIR009W	P40567	S000001448	111
YLR116W	Q12186	S000004106	476
YGR171C	P22438	S000003403	575
YOL116W	P22148	S000005476	382
YMR037C	P33748	S000004640	704
YKL062W	P33749	S000001545	630
YDR335W	P52918	S000002743	1224
YNR049C	P53604	S000005332	210
YGR028W	P28737	S000003260	362
YHR091C	P38714	S000001133	643
YMR164C	Q03825	S000004774	758
YDR194C	P15424	S000002602	664
YPR134W	P08593	S000006338	268
YMR023C	P32559	S000004625	526
YDL107W	P40990	S000002265	351
YDR208W	P38994	S000002616	779
YLR203C	P32335	S000004193	436
YKL194C	P07236	S000001677	462
YGL051W	P53176	S000003019	234
YAR033W	P39552	S000000079	234
YDR268W	P04803	S000002676	379
YPL097W	P48527	S000006018	492
YJL123C	P47018	S000003659	478
YKL098W	P34246	S000001581	357
