YORF	BY008_T1	BY008_T2	BY008_T3	BY008_T4	BY008_T5	BY008_T6	BY008_T7	BY008_T8	BY013_T1	BY013_T0	BY013_T2	BY013_T3	BY013_T4	BY013_T5	BY013_T6	BY013_T7	BY013_T8	BY005_T1	BY005_T2	BY005_T3	BY005_T4	BY005_T5	BY005_T6	BY005_T7	BY005_T8
YBR246W	2429.3	2871.8	2390.4	2576.9	2367.1	2406.8	2108.9	2301.7	2512.2	2495.4	2496.0	2450.7	2474.6	2691.8	2837.0	2744.5	2230.9	2148.5	2078.4	2103.3	2139.5	1937.3	2211.3	1910.4	1468.6
YKR056W	1130.7	3173.5	5088.9	6294.7	6663.2	7072.5	5058.2	3194.1	2777.7	2537.3	1874.9	1209.8	614.8	304.8	252.2	824.0	1079.7	3126.5	3185.5	2233.1	988.8	249.7	514.0	1109.0	1701.1
YER137C	452.5	974.5	1479.0	1980.1	2424.9	2861.5	1912.5	1036.5	827.6	739.8	641.9	447.8	338.3	317.0	268.7	252.5	298.6	796.9	1038.0	628.4	299.5	176.1	186.1	152.3	285.8
YGR210C	3622.3	3843.7	3096.2	3162.9	3270.3	3496.7	2842.0	4013.4	3527.0	3431.5	3404.8	3088.8	2695.5	2382.0	1981.9	2305.5	2779.3	3728.2	3785.2	3344.8	2968.0	2145.5	2148.1	2882.3	3508.6
YML007C-A	279.5	252.2	319.2	342.4	498.8	595.1	656.9	338.4	275.6	336.2	292.7	228.9	252.2	229.2	275.5	378.2	371.1	373.9	494.2	401.4	355.2	310.9	362.9	410.5	272.3
YGL031C	16864.1	16488.0	18671.5	19296.9	21220.4	22106.8	20727.5	21529.1	21550.4	21341.7	21523.1	21350.2	20842.0	19997.3	16695.7	6022.9	5841.9	22178.7	22041.1	21813.7	21307.6	21282.1	20507.4	6722.1	3171.4
YJL166W	8656.9	8532.0	6709.9	7465.0	8490.0	5423.4	8742.6	7742.8	7571.6	7554.2	8123.9	8898.9	9237.2	9920.2	10686.7	10802.0	10989.8	9654.2	10243.5	9857.2	10159.0	10990.8	11165.0	12474.3	14540.9
YNL329C	2158.2	1944.0	1483.6	1570.7	1642.6	1729.9	1420.8	1708.6	1624.9	1563.7	1539.6	1546.5	1439.1	1360.2	1463.1	1539.8	1646.1	1802.0	1802.6	1649.5	1673.2	1326.9	1615.3	1512.1	1776.1
YER013W	2270.0	2420.2	1757.6	1563.9	1954.4	2679.9	2713.3	1688.6	1780.3	1750.9	1662.1	1680.3	1636.6	1735.4	1853.9	1895.2	1834.0	1808.5	1895.2	1778.1	1732.4	1551.3	1902.0	1871.3	1882.1
YOR094W	2001.7	2040.3	1741.3	1871.7	2029.6	2248.7	2245.0	2119.3	2132.2	2104.8	2159.7	2015.9	1944.3	1900.3	1794.8	1734.0	1701.8	2132.7	2263.8	2091.7	1824.9	1603.7	1786.7	1533.4	1523.9
YGL013C	3227.9	3553.7	2322.6	2169.6	2374.8	2476.2	2934.5	2879.4	2733.6	2798.0	2807.1	2571.2	2594.9	2899.3	3109.9	2997.7	3256.3	2989.4	2943.3	3066.8	3112.5	2648.8	3447.9	4959.0	4747.6
YBR270C	1137.9	1205.1	740.0	818.2	902.5	940.2	636.9	643.4	635.4	577.0	586.5	602.7	648.1	770.2	862.5	929.9	923.3	606.5	736.9	565.8	617.9	566.9	728.9	1062.7	1264.7
YOL112W	1349.7	1143.1	1095.7	1150.9	1208.3	1335.6	1781.3	1229.0	1238.2	1291.7	1356.7	1265.0	1266.4	1245.5	1320.6	1625.8	1334.2	1309.6	1204.6	1336.3	1410.9	1492.8	2050.3	2142.6	1834.1
YHR001W	2260.9	1836.6	1423.4	1279.6	1117.6	1070.1	1465.7	1578.4	2188.8	2524.4	2485.4	2436.1	2543.2	2706.7	2652.0	2579.8	2677.8	2097.1	1870.4	2276.5	2687.9	2585.4	2721.1	2385.7	2941.8
YKR062W	2106.3	2379.4	2126.9	2528.6	2481.9	2918.3	3087.4	2583.3	3022.9	3219.1	3151.8	3111.2	3103.8	3318.7	3205.3	3069.5	2774.0	2731.4	2648.7	2914.4	3034.8	2959.7	3289.0	3190.1	2614.0
YAL011W	715.6	744.8	780.5	726.8	880.2	934.0	956.3	587.3	818.7	858.6	828.3	682.2	645.4	656.5	682.2	714.9	741.1	763.8	761.8	808.6	706.4	601.7	659.2	687.2	762.6
YML067C	6975.8	6145.6	5555.3	5180.2	5495.1	5450.1	5587.7	6280.2	6187.1	5759.7	6058.8	5830.8	5685.3	5558.5	6320.9	6953.7	6373.4	6069.4	6414.2	5991.7	5989.3	5618.3	6599.1	6310.0	5745.2
YPR015C	282.6	277.5	251.8	261.2	317.1	329.8	263.8	272.2	196.5	194.1	220.0	163.4	181.0	193.5	283.4	280.8	309.5	147.3	173.1	208.2	188.5	266.7	262.6	500.5	454.9
YIL094C	4819.4	3935.9	5744.4	7781.2	9527.2	12541.0	12164.6	11368.1	16554.0	16676.8	16281.3	16635.4	15755.8	14371.8	11671.0	17363.9	17352.1	16541.7	16702.0	16086.3	15512.5	13305.1	9309.5	4928.0	7763.1
YIL159W	1120.1	1343.1	1253.3	1155.7	1073.6	1183.8	818.9	920.7	988.6	956.0	900.8	742.2	802.4	825.7	839.3	895.8	705.0	1117.8	1188.4	926.3	836.1	746.0	985.1	966.1	954.6
YJL085W	2434.5	2944.9	1240.0	1124.3	931.4	868.3	1298.7	1571.8	1979.9	2363.0	2330.5	2362.6	2761.1	3095.7	3118.1	2867.2	2384.4	2016.6	1862.7	2221.2	2193.7	2287.1	2123.3	2338.0	1962.8
YEL076C	93.2	145.4	42.1	30.7	20.9	27.4	41.5	51.0	48.5	84.9	59.7	72.8	85.1	67.5	93.3	84.4	58.7	45.5	46.2	34.1	54.7	49.8	61.4	47.2	54.3
YOR074C	2990.4	2663.3	2111.9	1708.9	1058.7	375.1	348.8	1659.6	2657.1	2732.9	2818.0	2899.6	3087.4	3095.0	3048.9	2802.5	1874.2	2486.1	2472.0	2681.0	2674.8	2725.0	3072.6	2833.9	2912.2
YBL072C	20573.6	20610.0	22228.6	23053.7	23445.3	23278.5	23352.3	24198.8	23749.3	23868.0	23477.8	23570.6	23568.2	22501.1	19106.9	11366.9	12045.7	24257.6	23829.4	24205.2	23581.5	23996.4	22801.3	10108.4	11015.9
YFR032C	44.8	59.9	77.8	76.2	81.0	193.1	62.7	138.4	61.3	58.6	53.1	53.7	43.7	36.6	40.3	38.5	39.3	53.2	63.3	48.8	39.4	30.5	27.3	31.0	29.2
YER183C	3701.9	3445.9	2371.6	2366.3	2840.0	3196.4	2926.6	3391.0	3810.1	3867.7	3832.5	3633.1	3623.0	3796.5	3806.0	3333.8	2972.2	3417.0	3827.4	3921.5	3763.2	3352.6	4233.9	3912.9	2943.6
YKL069W	4404.0	4781.8	3510.0	3777.4	4075.4	3083.7	4163.7	2762.9	3415.1	3404.6	3388.6	3307.3	3359.2	3625.0	4122.1	6187.3	5402.6	3381.5	3769.2	4023.4	3754.5	3964.5	5466.7	6316.5	5502.5
YKR037C	1407.3	1374.3	1164.3	1095.5	1141.6	1151.6	930.1	959.8	1152.8	1152.8	1163.5	1160.2	1233.9	1301.9	1222.8	1353.7	1273.8	1105.4	1175.3	1268.3	1243.2	1215.2	1136.9	1228.3	1439.0
YER069W	9478.2	8361.9	8555.0	9681.1	9451.2	7900.1	10250.5	8073.8	9678.9	9538.7	9544.4	9633.5	8710.1	7908.2	5737.2	9050.3	9518.5	9848.1	10033.6	9333.2	9013.1	7899.4	9314.3	9376.5	7704.0
YDR001C	7274.2	7292.3	5172.6	4114.1	3507.8	4146.3	5926.2	5061.9	3988.8	4524.0	4787.8	5353.5	6669.7	8070.2	10018.8	11629.7	10897.3	3346.6	3578.6	4860.8	6834.0	7640.2	9574.3	11652.3	10145.7
YOR032C	115.9	177.5	144.4	122.0	157.3	223.7	248.7	105.3	43.6	51.3	53.1	72.9	84.5	96.1	184.2	483.4	288.2	39.7	39.4	49.7	66.1	65.1	86.0	70.0	148.2
YNR075W	75.5	81.7	57.9	31.3	43.4	35.2	54.3	57.1	68.1	56.2	59.7	68.2	70.1	72.8	72.5	69.0	56.3	65.4	60.2	57.2	70.4	55.8	61.9	64.6	63.8
YPL097W	1129.0	1149.8	848.9	853.4	1010.7	869.3	1014.3	1028.6	912.0	1011.0	1015.7	1013.4	1118.3	1224.1	1248.7	1314.0	1189.5	925.5	896.0	982.9	1067.8	1109.2	1093.8	892.6	974.9
YHR166C	1069.6	1033.4	617.1	703.9	812.7	897.7	701.4	691.6	837.1	888.1	851.8	802.4	745.1	875.0	919.7	879.5	856.0	843.2	929.1	941.6	893.9	686.1	852.8	1203.8	1007.1
YGL143C	1397.1	1651.9	1085.8	988.8	1191.6	1198.1	1194.8	915.8	1104.1	1160.3	1176.6	1119.1	1122.6	1406.9	1569.2	1624.6	1294.5	956.5	1126.0	1164.5	1323.0	1314.7	1659.9	1205.6	1080.7
YGL095C	1697.0	1518.7	1194.8	932.2	811.2	706.6	1349.9	1371.8	1281.9	1348.0	1386.7	1530.7	1470.4	1648.4	1914.7	1858.5	1645.0	1502.9	1378.6	1403.6	1539.5	1537.3	1763.4	2459.5	2420.6
YKR039W	20197.7	19035.9	11304.3	4456.8	3068.0	5639.7	6386.7	14952.3	17874.3	18423.9	19180.8	18505.0	19562.8	20807.6	23019.1	19608.2	19538.0	12949.4	11944.8	15810.0	17673.8	18949.9	19244.6	17965.6	20863.5
YNL307C	4031.8	3586.3	3731.7	3521.6	2549.8	2099.4	3511.0	4333.3	4397.1	4936.8	5013.4	4632.7	4757.2	4996.5	4881.9	5340.1	4617.2	4705.6	3603.7	4073.9	4568.6	4198.3	4632.4	3723.1	4022.0
YMR280C	1195.4	1418.3	1070.9	646.4	215.9	71.3	191.4	176.8	338.5	386.4	403.5	471.8	647.3	924.7	1082.7	1411.3	1321.1	227.1	245.8	351.2	643.3	734.0	650.1	738.9	1084.9
YJL148W	1357.6	5679.0	9327.3	9762.7	8854.7	9551.7	7400.7	5225.0	5638.2	4967.4	4357.7	3336.8	2010.8	881.6	403.0	900.3	1118.1	5452.5	5591.8	3924.9	2184.4	818.7	329.4	269.0	818.0
YLR218C	1855.9	1777.4	789.9	522.8	470.9	512.3	1633.7	940.2	1328.7	1377.9	1654.9	1948.3	2170.5	2431.9	2441.5	2862.3	2318.5	1176.8	1366.3	2092.5	2365.9	2311.4	2435.1	2655.0	2182.8
YHR158C	2472.4	2412.0	1994.0	1387.0	993.7	973.8	859.4	1329.1	1639.3	1760.9	1724.0	1779.6	1889.0	1991.2	2136.9	2340.5	2024.8	1549.9	1648.0	1591.7	1786.3	2024.2	1882.6	2374.1	2450.0
YER040W	998.2	947.6	1095.8	1445.3	1582.2	1942.8	2484.7	1262.0	995.1	1104.2	997.6	867.6	771.4	710.4	637.8	778.4	832.7	1068.9	1050.7	958.3	816.1	796.1	1049.5	1140.8	887.6
YJR032W	1788.6	2249.8	2681.4	2621.1	2359.1	2328.4	2453.1	1821.8	2723.0	3154.1	2792.1	2523.4	2494.7	2235.5	2251.1	2297.9	2261.4	2525.4	2279.5	2483.5	2180.9	1980.9	2006.8	2231.0	1995.5
YBL027W	12969.7	13188.8	14546.5	14893.0	15779.2	17294.5	14845.2	16463.4	16764.5	16142.9	16457.5	17234.7	16507.2	15159.4	11317.2	7338.1	8136.4	17609.2	17521.6	16850.4	15519.2	16629.3	14314.7	4418.5	6511.5
YER102W	9632.9	11464.2	16264.7	18528.5	18916.8	20914.7	18930.4	18412.3	19866.2	20268.3	19806.3	19871.5	19438.5	18441.2	11064.9	3288.9	3981.0	20489.9	20441.7	20613.9	19802.8	19161.6	15629.1	2634.1	2594.1
YGL189C	15625.7	16391.4	16710.6	17657.2	18315.4	19759.5	19102.2	18724.7	18518.6	18714.2	18546.1	18884.3	18717.9	17702.7	15682.5	7362.3	7509.4	19180.2	19633.4	18909.3	18433.0	18495.2	17421.3	6988.6	6111.3
YCL058C	42.4	111.6	157.3	238.5	220.1	261.2	132.4	68.8	79.3	62.8	70.4	40.1	31.9	21.5	38.6	39.8	26.7	45.4	60.4	33.7	34.9	24.3	27.3	25.1	47.6
YIL162W	1476.4	1554.6	2046.4	2493.8	1997.2	1103.2	785.4	1479.3	2228.5	2236.6	2364.4	2205.6	2180.3	2178.7	1851.2	1430.4	1189.2	2324.5	2189.7	2196.3	2354.8	2050.2	2011.1	1409.8	1942.2
YJL125C	1251.3	2668.8	3948.0	4122.4	3778.5	4172.4	2874.1	2277.3	2165.2	2218.3	1914.2	1306.6	1038.5	848.4	852.3	1032.0	1122.5	2276.0	2156.6	1664.3	987.3	592.7	720.5	668.4	1111.5
YNL116W	2682.0	2338.0	1817.8	2228.3	2662.0	2708.2	2908.7	2557.6	2257.1	2183.4	2098.8	1850.2	1606.0	1518.4	1667.8	2056.8	2550.4	2170.1	2161.7	2008.4	1842.7	1703.9	2527.5	4053.3	4326.6
YLR233C	1364.3	1196.5	530.2	421.6	400.6	435.1	420.0	520.1	653.1	647.4	662.9	701.9	731.5	811.3	888.2	835.1	711.8	597.7	639.6	610.2	660.1	637.0	808.6	870.9	782.5
YKR050W	1074.3	1075.1	1071.7	1124.0	1311.0	1695.1	1363.1	1259.4	1233.9	1284.5	1224.6	1100.6	1085.0	1218.4	1147.4	1193.2	1266.0	1250.1	1243.9	1337.5	1431.8	1171.5	1264.7	1230.2	1071.5
YPL033C	36.3	51.5	34.5	32.2	26.8	42.2	92.1	22.7	25.6	28.5	23.4	38.9	39.8	38.4	36.4	45.2	34.7	30.7	42.3	32.0	39.5	27.9	46.8	33.6	34.9
YDL112W	1794.6	2000.9	3358.8	4651.7	5112.3	5394.8	4383.6	3480.2	3219.2	3317.0	2893.7	2487.6	2132.0	1470.7	930.5	1156.0	1430.3	3739.2	3715.3	3273.5	2589.6	1528.6	911.3	924.8	1753.9
YLR461W	1608.6	2036.0	1083.1	844.9	749.1	652.7	818.8	679.3	1418.7	1274.6	1426.4	1331.3	1300.7	1395.6	1353.2	1372.1	1269.3	1108.0	1214.6	1337.7	1167.2	984.9	1104.3	1687.5	1058.0
YPL034W	2834.5	2264.2	1077.5	1047.6	1191.9	1267.2	1707.3	1813.5	1795.1	1842.2	1820.7	1767.6	1847.6	2205.3	2647.5	2742.3	2716.1	1688.3	1710.6	1976.2	1982.7	1958.9	2474.2	2433.7	2030.4
YDL103C	3549.4	2963.7	2166.7	1836.8	1353.3	1130.0	1472.2	2543.2	2824.2	3091.2	3114.1	3263.2	3532.4	3927.8	4205.5	3246.5	2752.7	2799.7	2760.7	2802.6	3285.1	3546.8	4080.2	3674.8	3581.8
YHL018W	39.4	42.8	36.5	37.1	45.6	44.9	41.4	38.3	47.5	41.8	37.8	43.4	48.7	42.3	46.0	45.6	40.1	37.4	33.7	37.6	36.8	35.7	37.6	39.0	40.4
YFR048W	2635.5	3324.8	2707.2	2917.6	2959.5	2858.1	3657.1	2721.9	2589.0	2793.8	2710.6	2577.2	2498.0	2556.7	2556.3	2444.4	2104.3	2870.4	2882.3	2858.1	2451.4	2235.7	1919.4	2189.6	2223.4
YOL032W	2790.7	1952.6	748.8	632.6	660.3	588.3	1314.3	1877.7	1647.5	1934.4	2027.2	2321.4	2842.8	3456.8	3328.8	3279.1	3589.9	1633.6	1685.9	2760.9	3765.8	3804.3	2905.6	5014.8	4940.3
YLR303W	21362.4	20300.4	23177.6	22608.1	22696.2	14993.9	12627.5	16887.4	19450.3	19664.5	19637.5	18725.5	19007.0	18169.2	19566.0	20205.9	20884.3	18599.0	18189.8	18291.5	18170.0	19364.1	19622.4	18261.9	21780.8
YJL100W	2070.0	1321.6	851.4	1207.8	1434.5	729.6	887.5	1044.6	1327.7	1305.7	1397.2	1350.8	1580.1	1862.1	1862.7	1924.3	1984.9	1121.5	1168.0	1467.4	1977.1	1723.4	1912.7	1602.5	1724.2
YCR042C	3844.2	4066.4	2972.7	2711.9	3327.3	4197.0	4367.4	3686.4	3095.0	3213.1	3049.9	2998.8	2906.7	2874.0	3343.2	3408.2	3537.7	3008.9	3293.9	3017.4	3027.2	2751.4	3108.3	3293.7	3285.9
YGL001C	7451.4	6571.0	5163.3	4434.0	3822.2	3896.3	4907.8	5434.7	5405.1	5750.8	5533.4	5594.0	5612.9	5998.2	6978.5	7579.4	6669.2	5201.3	5050.8	5252.2	6022.5	6012.4	7558.3	8559.5	7956.8
YPR200C	771.1	569.0	403.7	361.3	374.5	374.1	394.2	515.2	455.8	474.3	455.3	446.0	464.8	487.1	555.3	495.3	494.0	461.9	552.0	492.8	498.2	414.4	674.5	776.1	469.8
YLR387C	2367.7	1915.3	1471.6	1944.9	2020.2	2011.9	3049.1	2862.9	2904.1	3436.5	3519.4	3280.6	3222.2	3784.4	3907.7	3132.9	3254.6	3596.0	3280.4	3525.5	3648.1	3308.1	4853.5	6071.8	3762.1
YJL068C	7282.4	7081.8	5105.9	4377.2	3292.0	1070.0	1598.5	3324.5	4880.6	5325.5	5323.5	5588.0	5988.5	6758.3	8022.7	9289.0	8412.7	4198.3	4366.9	4839.2	5537.7	5517.1	7677.1	9211.5	9089.0
YGR272C	432.0	1686.1	3310.0	3756.3	3643.7	3655.4	2339.0	1191.8	1283.9	1028.9	847.6	545.6	282.1	155.6	163.5	278.3	305.8	2079.2	2517.2	1043.3	358.6	127.9	216.9	257.7	500.4
YJL158C	13010.5	13983.5	13488.2	13719.7	14791.0	16036.9	16229.3	15465.6	14939.2	14812.5	15170.7	14811.2	14910.2	14581.5	15318.1	19372.1	19261.6	14884.9	15239.0	15333.0	14630.2	14235.9	15726.3	19036.6	16340.8
YCR023C	3114.0	2813.7	1587.2	1253.5	1259.5	1239.9	2527.0	2352.5	3045.7	2745.9	3253.8	2951.5	3117.0	3191.5	3223.8	2635.8	2476.8	2587.9	2449.2	2694.3	2794.9	2727.8	3215.3	3819.8	3285.3
YMR279C	279.6	315.6	179.6	144.0	133.1	127.2	115.2	123.7	159.6	182.2	208.0	162.7	193.7	172.1	188.3	252.9	164.0	143.6	130.3	141.2	156.4	143.4	182.9	146.3	156.3
YDL057W	1529.1	1114.1	575.5	443.4	400.6	425.5	677.0	503.8	528.7	567.9	622.2	674.7	892.4	1206.4	1790.4	1970.4	1843.7	472.7	515.7	750.8	1094.9	1484.9	2657.1	2571.0	1526.4
YGL038C	3291.3	2315.9	780.8	570.8	584.9	983.4	3174.0	2946.6	2695.0	2732.4	2945.2	3465.1	3445.7	3731.8	4159.1	5359.4	4973.9	2864.3	2511.5	2992.4	3397.5	3606.1	4588.4	4516.4	4463.6
YML117W	3464.4	3551.1	2675.0	2659.5	2889.3	3789.8	5079.6	3732.8	2946.1	3123.5	3227.5	3295.7	3584.1	4143.9	4108.7	6161.5	5047.1	2869.7	2994.4	3094.0	4090.2	3977.6	5194.4	5745.1	4068.1
YLL038C	397.8	521.0	948.6	893.7	828.3	1012.7	762.4	518.7	810.7	700.7	738.9	554.6	534.6	595.1	539.3	499.4	495.9	364.0	362.8	403.9	388.8	344.2	308.1	322.4	284.1
YDL105W	806.7	843.1	458.3	516.8	519.6	485.4	536.2	486.4	730.4	796.2	769.5	689.1	713.9	820.4	786.6	819.9	591.7	620.7	632.7	690.7	753.0	767.5	940.4	579.0	634.3
YBR217W	1063.7	1158.9	893.5	960.3	1210.0	1216.8	1367.4	1012.3	1168.9	1266.9	1244.5	1071.1	1105.2	1285.5	1205.3	1212.2	1203.5	1364.9	1472.0	1493.4	1384.2	1145.5	1346.5	1361.0	1287.2
YGR024C	4040.3	3862.2	3615.9	3863.1	3890.5	3807.9	3168.2	3718.8	3894.3	3842.5	3762.5	3587.9	3500.3	3196.6	3109.5	3501.8	3769.7	4215.6	4520.4	4083.7	3372.5	3244.2	3329.9	3827.3	3938.9
YDR127W	9675.0	8813.9	9263.1	10533.2	10465.3	9518.1	12666.7	11206.8	10538.9	11023.7	10392.5	9799.1	9552.4	9256.9	7308.1	6933.4	6541.5	10639.4	10763.5	10673.9	10679.9	8911.7	10215.8	13659.0	10429.6
YOR028C	1223.7	534.4	215.5	184.2	187.7	355.9	392.9	466.2	936.5	1206.5	1846.7	2939.2	4464.8	3998.6	1969.8	3049.7	2731.6	850.4	442.8	3072.4	5115.1	2639.1	682.9	381.2	754.5
YLR265C	1260.6	1269.7	1385.4	1332.3	1031.5	987.8	1601.2	1839.4	1646.9	1891.0	1835.4	1733.4	1778.3	1375.4	1447.1	1540.9	1655.1	1517.6	1266.7	1490.2	1589.4	1184.1	1154.0	1308.4	1202.8
YKR057W	17766.2	18942.9	20023.5	21356.9	22307.5	22548.8	24207.7	23166.8	22855.1	22572.5	22428.3	22472.4	21684.0	20560.9	14521.2	10913.6	10834.5	24218.9	24387.3	23700.5	23380.2	21530.1	18702.1	7888.1	9414.7
YNR043W	6381.4	5737.3	5133.5	5052.0	5132.3	5682.5	7040.8	5803.2	7358.6	7500.3	7171.2	6954.7	6524.6	5961.6	5552.1	6499.5	6645.4	6949.8	6861.5	6928.2	6904.9	6330.7	7313.4	7180.9	6222.3
YMR237W	4877.2	4530.9	3520.3	2940.4	2210.2	1994.5	3314.1	4078.8	4335.9	4555.6	4602.8	4590.3	4867.5	5360.2	6295.6	6204.7	5078.1	4442.3	4066.0	4342.6	5020.7	5034.5	6232.6	6698.5	5232.5
YDR400W	1099.9	969.1	1033.9	1049.0	810.7	895.8	754.8	1310.3	1656.3	1775.4	1715.8	1554.4	1502.4	1435.5	1142.6	806.4	634.6	1694.3	1535.8	1580.1	1632.6	1356.5	1558.6	1125.0	826.7
YPL036W	891.2	662.0	737.5	790.0	673.1	679.1	531.7	465.7	315.8	308.1	310.7	256.0	245.5	243.9	243.4	216.4	310.7	354.0	333.0	280.8	293.5	201.8	234.9	220.7	1007.4
YGR085C	15111.2	18328.4	20285.2	21362.4	22404.7	22078.2	19676.7	21498.9	19460.4	19138.4	18896.2	18074.7	17819.5	16015.8	10047.7	7320.3	8291.1	19807.7	20358.6	19761.6	18573.1	17176.3	11176.3	4340.7	7388.4
YFR050C	6380.3	5956.5	4638.5	3882.9	2482.3	1684.6	4473.3	6606.0	7009.7	7562.9	7706.8	7744.4	7978.2	9035.9	9651.6	8521.6	8941.0	6959.7	6333.9	7923.5	8135.5	7948.1	9050.8	11554.3	9924.8
YCR010C	227.3	219.4	183.4	137.6	96.0	116.6	129.8	124.4	201.6	191.0	219.3	216.3	268.0	348.6	517.5	393.4	300.6	141.8	175.1	209.1	270.9	333.7	383.4	250.8	199.3
YDR353W	10133.4	9912.7	9049.9	9438.1	9660.6	11582.5	11244.3	9727.9	11611.5	11896.6	11803.7	11644.2	11844.4	12240.2	12590.4	13341.0	11969.0	11561.3	11514.0	11812.3	12422.9	12357.0	13936.0	12518.0	9700.8
YOR125C	2076.6	1538.7	750.8	395.0	288.7	183.2	422.3	771.1	1272.6	1497.6	1596.7	1751.1	2054.3	2407.7	2704.6	2508.2	2389.7	1110.5	1201.4	1579.8	2040.6	2171.5	2497.0	2314.3	2105.6
YLR307C-A	243.8	271.6	203.5	198.7	221.2	286.4	105.1	30.2	29.5	33.1	28.3	36.1	36.6	29.7	40.3	85.8	91.1	47.9	55.6	51.9	48.5	42.8	59.2	60.4	75.3
YOR252W	785.1	1767.2	3062.9	4005.1	4948.4	4943.3	2711.8	1680.6	1936.4	1678.2	1405.1	982.7	710.3	488.9	438.0	601.9	721.6	1772.1	2102.4	1745.4	901.7	437.1	524.6	695.1	1057.1
YGL108C	1490.2	1673.4	1386.4	1552.3	1630.8	1896.8	1752.7	1240.5	1610.2	1771.0	1683.7	1886.9	1789.3	2035.0	1935.3	1895.2	1677.4	1526.2	1710.2	1721.6	1937.1	1806.5	2080.5	2011.1	1636.4
YJL089W	200.9	213.5	163.9	124.7	126.8	176.1	509.3	131.2	153.5	125.1	130.6	152.0	176.5	228.4	315.1	371.9	348.9	129.5	139.9	158.3	240.5	300.9	526.8	447.4	227.6
YMR265C	1817.7	2090.3	1621.6	1698.5	2319.1	2811.0	2122.4	1439.0	1198.7	1181.0	1228.4	1279.9	1329.2	1453.7	1308.0	1057.6	941.2	1199.8	1342.4	1420.5	1519.8	1303.5	1304.3	1026.5	963.0
YDR404C	4677.7	4792.1	4377.9	4762.8	5093.8	5351.5	5065.1	5132.6	5270.3	5173.2	5132.6	5354.1	5360.3	5130.4	4795.9	4709.9	4640.0	5194.3	5482.3	5273.8	5031.6	4505.7	4293.8	4071.1	3675.6
YKL027W	1140.1	1558.4	2395.2	2771.1	2782.1	3120.5	1999.8	1881.3	1437.9	1261.6	1162.8	1231.8	1121.9	1073.3	952.0	1021.2	881.2	1569.2	1569.2	1235.7	969.5	773.5	811.8	578.3	578.0
YKL074C	1768.1	2234.7	2154.4	2524.9	3056.0	3328.8	2886.5	2501.2	1907.9	1784.9	1666.2	1353.2	1193.8	1064.4	1119.2	1179.7	1308.5	2029.0	2202.6	1686.6	1328.7	968.7	1167.7	1226.5	1475.0
YPL189W	704.2	797.6	803.5	846.1	738.5	757.3	311.7	253.7	351.5	353.5	395.4	363.4	421.6	489.0	664.0	664.9	422.3	355.5	350.1	399.8	406.0	364.3	530.4	290.2	278.4
YBR112C	3629.2	3799.4	4040.3	3580.0	2742.0	3021.5	2970.8	2369.6	2697.9	2978.7	2869.5	2828.0	2848.5	3011.2	2809.8	3409.5	3029.5	2255.0	2144.1	2389.6	2841.1	2442.9	2330.4	2573.7	2396.7
YLR336C	1229.9	1801.2	4374.4	5151.1	5683.1	6905.1	4143.3	2960.6	2609.4	2534.5	2086.2	1547.5	1122.9	634.4	670.4	809.1	1054.4	2894.5	3097.8	2020.6	1235.2	554.2	509.8	1139.8	1085.6
YBR022W	1902.9	1775.9	1196.7	1275.5	1350.3	1181.2	1355.6	1592.0	1565.7	1722.1	1706.8	1656.0	1754.5	1848.2	2189.7	2110.0	1978.0	1685.3	1879.6	1919.8	1893.7	1902.3	2602.0	2679.2	2423.7
YBR251W	2117.1	2623.9	2297.1	2445.6	2377.9	2076.5	2064.1	2028.5	1776.3	1792.0	1829.2	1719.3	1799.2	1966.9	1970.9	1823.0	1687.7	1756.6	2017.6	1940.6	1834.2	1580.3	1599.4	1412.0	1727.4
YGR148C	14549.7	15846.9	17543.0	18917.3	20463.6	21176.9	19374.3	20545.3	19959.8	19355.7	19125.2	19811.8	18975.5	18176.0	13433.3	7742.8	7419.3	20627.7	21106.4	20413.0	19251.1	18803.4	17200.8	6829.3	6806.8
YBR291C	2607.6	2498.2	4076.3	6088.6	6999.7	7698.9	4593.3	6553.8	8558.0	8640.3	8565.6	7757.8	6877.8	6167.5	6664.6	9361.0	8829.1	8293.8	8282.1	7576.3	5638.9	3687.0	2683.1	2514.6	2688.1
YAR014C	3297.5	3351.3	3082.1	3719.9	4188.5	4807.8	3872.6	3678.2	3168.4	3204.7	3120.2	2824.1	2589.0	2379.0	2242.5	3042.3	3231.3	3565.3	3780.5	3324.5	2798.5	2206.6	2214.3	2194.4	2531.9
YPL134C	4916.1	4004.1	3372.9	2839.3	1961.8	751.9	772.6	1168.2	1498.6	1570.5	1643.5	1685.7	1994.2	2586.7	4287.7	5239.2	5648.8	1078.4	1097.6	1217.6	1534.0	1923.5	3436.7	3194.3	3840.4
YGR078C	2174.7	2777.7	3414.1	4288.2	4950.0	5072.9	4012.6	3334.9	3758.8	3430.9	2859.8	3134.2	2856.7	2697.7	2310.2	2471.3	2476.9	3626.3	4206.3	3868.2	3141.2	2646.5	2769.5	2454.9	2548.9
YNR072W	36.6	23.3	14.4	15.3	14.4	15.5	15.5	15.9	17.6	20.1	17.2	19.1	22.0	24.2	27.4	17.2	19.9	21.7	17.9	18.7	19.4	18.8	21.6	23.8	27.4
